segment;point;x;y;vStop;vFlow;attributes;aSteering;aHeading;label;version
35;2;-3301;500;1000;700;0x00000000;0;0;;
35;3;-3201;500;1000;700;0x00000000;0;0;;
35;4;-3100;500;1000;700;0x00000000;0;0;;
35;5;-3001;500;1000;700;0x00000000;0;0;;
35;6;-2901;500;1000;700;0x00000000;0;0;;
35;7;-2801;500;900;700;0x00000000;0;0;;
35;8;-2701;500;800;700;0x00000000;0;0;;
35;9;-2601;500;700;700;0x00000000;0;0;;
35;10;-2501;500;600;700;0x00000000;0;0;;
35;11;-2401;500;500;700;0x00000000;0;0;;
35;12;-2302;500;400;700;0x00000000;0;0;;
35;13;-2202;500;300;700;0x00000000;0;0;;
35;14;-2102;500;200;700;0x00000000;0;0;;
35;15;-2000;500;100;700;0x00000002;0;0;;
36;0;-8500;1500;1000;180;0x40060001;0;27121;;
36;1;-8498;1405;1000;180;0x40060000;0;27301;;
36;2;-8490;1310;1000;180;0x40060000;0;27660;;
36;3;-8476;1215;1000;180;0x40060000;0;28055;;
36;4;-8455;1122;1000;180;0x40060000;0;28520;;
36;5;-8426;1031;1000;180;0x40060000;0;29063;;
36;6;-8388;944;1000;180;0x40060000;0;29697;;
36;7;-8340;862;1000;180;0x40060000;0;30386;;
36;8;-8282;786;1000;180;0x40060000;0;31116;;
36;9;-8215;719;900;180;0x40060000;0;31864;;
36;10;-8140;661;800;180;0x40060000;0;32614;;
36;11;-8057;613;700;180;0x40060000;0;33317;;
36;12;-7970;575;600;180;0x40060000;0;33927;;
36;13;-7880;546;500;180;0x40060000;0;34443;;
36;14;-7787;524;400;180;0x40060000;0;34916;;
36;15;-7692;510;300;180;0x40060000;0;35369;;
36;16;-7597;503;200;180;0x40060000;0;35702;;
36;17;-7500;500;100;180;0x40060002;0;35823;;
37;0;-8500;500;1000;700;0x00000001;0;116;;
37;1;-8401;502;1000;700;0x00000000;0;115;;
37;2;-8301;504;900;700;0x00000000;0;86;;
37;3;-8201;505;800;700;0x00000000;0;57;;
37;4;-8101;506;700;700;0x00000000;0;29;;
37;5;-8001;506;600;700;0x00000000;0;0;;
37;6;-7900;506;500;700;0x00000000;0;0;;
37;7;-7800;506;400;700;0x00000000;0;35971;;
37;8;-7700;505;300;700;0x00000000;0;35914;;
37;9;-7600;503;200;700;0x00000000;0;35857;;
37;10;-7500;500;100;700;0x00000002;0;35828;;
38;0;-9500;1500;1000;180;0x40060001;0;27119;;
38;1;-9498;1404;1000;180;0x40060000;0;27301;;
38;2;-9490;1310;1000;180;0x40060000;0;27664;;
38;3;-9476;1215;1000;180;0x40060000;0;28055;;
38;4;-9455;1122;1000;180;0x40060000;0;28520;;
38;5;-9426;1031;1000;180;0x40060000;0;29052;;
38;6;-9388;943;1000;180;0x40060000;0;29643;;
38;7;-9341;860;1000;180;0x40060000;0;30319;;
38;8;-9284;784;1000;180;0x40060000;0;31073;;
38;9;-9217;716;900;180;0x40060000;0;31819;;
38;10;-9142;657;800;180;0x40060000;0;32572;;
38;11;-9060;609;700;180;0x40060000;0;33276;;
38;12;-8973;570;600;180;0x40060000;0;33909;;
38;13;-8882;541;500;180;0x40060000;0;34480;;
38;14;-8789;520;400;180;0x40060000;0;34975;;
38;15;-8694;507;300;180;0x40060000;0;35432;;
38;16;-8598;501;200;180;0x40060000;0;35793;;
38;17;-8500;500;100;180;0x40060002;0;35942;;
39;0;-3500;3500;600;400;0x00000001;0;18000;;
39;1;-3600;3500;500;400;0x00000000;0;18000;;
39;2;-3699;3500;400;400;0x00000000;0;18000;;
39;3;-3799;3500;300;400;0x00000000;0;18000;;
39;4;-3898;3500;200;400;0x00000000;0;18000;;
39;5;-4000;3500;100;400;0x00000002;0;18000;;
40;0;-4000;3500;600;400;0x00000001;0;18000;;
40;1;-4100;3500;500;400;0x00000000;0;18000;;
40;2;-4199;3500;400;400;0x00000000;0;18000;;
40;3;-4299;3500;300;400;0x00000000;0;18000;;
40;4;-4398;3500;200;400;0x00000000;0;18000;;
40;5;-4500;3500;100;400;0x00000002;0;18000;;
41;0;-4500;3500;600;400;0x00000001;0;18000;;
41;1;-4600;3500;500;400;0x00000000;0;18000;;
41;2;-4699;3500;400;400;0x00000000;0;18000;;
41;3;-4799;3500;300;400;0x00000000;0;18000;;
41;4;-4898;3500;200;400;0x00000000;0;18000;;
41;5;-5000;3500;100;400;0x00000002;0;18000;;
42;0;-5000;3500;600;400;0x00000001;0;18000;;
42;1;-5100;3500;500;400;0x00000000;0;18000;;
42;2;-5199;3500;400;400;0x00000000;0;18000;;
42;3;-5299;3500;300;400;0x00000000;0;18000;;
42;4;-5398;3500;200;400;0x00000000;0;18000;;
42;5;-5500;3500;100;400;0x00000002;0;18000;;
43;0;-5500;3500;600;400;0x00000001;0;18000;;
43;1;-5600;3500;500;400;0x00000000;0;18000;;
43;2;-5699;3500;400;400;0x00000000;0;18000;;
43;3;-5799;3500;300;400;0x00000000;0;18000;;
43;4;-5898;3500;200;400;0x00000000;0;18000;;
43;5;-6000;3500;100;400;0x00000002;0;18000;;
44;0;-6000;3500;600;400;0x00000001;0;18000;;
44;1;-6100;3500;500;400;0x00000000;0;18000;;
44;2;-6199;3500;400;400;0x00000000;0;18000;;
44;3;-6299;3500;300;400;0x00000000;0;18000;;
44;4;-6398;3500;200;400;0x00000000;0;18000;;
44;5;-6500;3500;100;400;0x00000002;0;18000;;
45;0;-6500;3500;600;400;0x00000001;0;18000;;
45;1;-6600;3500;500;400;0x00000000;0;18000;;
45;2;-6700;3500;400;400;0x00000000;0;18000;;
45;3;-6800;3500;300;400;0x00000000;0;18000;;
45;4;-6900;3500;200;400;0x00000000;0;18000;;
45;5;-7000;3500;100;400;0x00000002;0;18000;;
46;0;-9500;3500;600;180;0x40064001;0;27000;;
46;1;-9500;3401;500;180;0x40060000;0;27000;;
46;2;-9500;3301;400;180;0x40060000;0;27000;;
46;3;-9500;3201;300;180;0x40060000;0;27000;;
46;4;-9500;3101;200;180;0x40060000;0;27000;;
46;5;-9500;3000;100;180;0x40060002;0;27000;;
47;0;-9500;3000;600;180;0x40060001;0;27000;;
47;1;-9500;2901;500;180;0x40060000;0;27000;;
47;2;-9500;2801;400;180;0x40060000;0;27000;;
47;3;-9500;2701;300;180;0x40060000;0;27000;;
47;4;-9500;2601;200;180;0x40060000;0;27000;;
47;5;-9500;2500;100;180;0x40060002;0;27000;;
48;0;-8500;3500;600;180;0x40064001;0;27000;;
48;1;-8500;3401;500;180;0x40060000;0;27000;;
48;2;-8500;3301;400;180;0x40060000;0;27000;;
48;3;-8500;3201;300;180;0x40060000;0;27000;;
48;4;-8500;3101;200;180;0x40060000;0;27000;;
48;5;-8500;3000;100;180;0x40060002;0;27000;;
49;0;-3500;3500;1000;700;0x00000001;0;18118;;
49;1;-3597;3498;1000;700;0x00000000;0;18208;;
49;2;-3693;3493;1000;700;0x00000000;0;18413;;
49;3;-3791;3484;1000;700;0x00000000;0;18647;;
49;4;-3887;3471;1000;700;0x00000000;0;18922;;
49;5;-3982;3453;1000;700;0x00000000;0;19224;;
49;6;-4076;3430;1000;700;0x00000000;0;19554;;
49;7;-4169;3401;1000;700;0x00000000;0;19918;;
49;8;-4260;3366;1000;700;0x00000000;0;20339;;
49;9;-4347;3324;1000;700;0x00000000;0;20776;;
49;10;-4431;3276;1000;700;0x00000000;0;21197;;
49;11;-4512;3221;1000;700;0x00000000;0;21705;;
49;12;-4586;3159;1000;700;0x00000000;0;22249;;
49;13;-4655;3090;1000;700;0x00000000;0;22729;;
49;14;-4718;3016;1000;700;0x00000000;0;23254;;
49;15;-4773;2936;1000;700;0x00000000;0;23762;;
49;16;-4822;2852;1000;700;0x00000000;0;24212;;
49;17;-4864;2764;900;700;0x00000000;0;24661;;
49;18;-4899;2674;800;700;0x00000000;0;25072;;
49;19;-4928;2581;700;700;0x00000000;0;25418;;
49;20;-4952;2487;600;700;0x00000000;0;25754;;
49;21;-4970;2391;500;700;0x00000000;0;26054;;
49;22;-4984;2295;400;700;0x00000000;0;26320;;
49;23;-4993;2198;300;700;0x00000000;0;26587;;
49;24;-4998;2101;200;700;0x00000000;0;26798;;
49;25;-5000;2000;100;700;0x00000002;0;26887;;
50;0;-5000;2000;1000;700;0x00000001;0;27118;;
50;1;-4998;1903;1000;700;0x00000000;0;27206;;
50;2;-4993;1805;1000;700;0x00000000;0;27411;;
50;3;-4984;1708;1000;700;0x00000000;0;27650;;
50;4;-4971;1612;1000;700;0x00000000;0;27917;;
50;5;-4953;1516;1000;700;0x00000000;0;28218;;
50;6;-4930;1422;1000;700;0x00000000;0;28546;;
50;7;-4901;1328;1000;700;0x00000000;0;28908;;
50;8;-4866;1237;1000;700;0x00000000;0;29301;;
50;9;-4825;1149;1000;700;0x00000000;0;29722;;
50;10;-4777;1064;1000;700;0x00000000;0;30182;;
50;11;-4722;983;1000;700;0x00000000;0;30663;;
50;12;-4661;908;1000;700;0x00000000;0;31208;;
50;13;-4592;839;1000;700;0x00000000;0;31708;;
50;14;-4518;775;1000;700;0x00000000;0;32207;;
50;15;-4438;719;1000;700;0x00000000;0;32753;;
50;16;-4353;670;1000;700;0x00000000;0;33226;;
50;17;-4265;628;900;700;0x00000000;0;33645;;
50;18;-4174;592;800;700;0x00000000;0;34054;;
50;19;-4081;563;700;700;0x00000000;0;34482;;
50;20;-3986;541;600;700;0x00000000;0;34817;;
50;21;-3890;523;500;700;0x00000000;0;35112;;
50;22;-3794;511;400;700;0x00000000;0;35411;;
50;23;-3696;503;300;700;0x00000000;0;35677;;
50;24;-3599;500;200;700;0x00000000;0;35912;;
50;25;-3500;500;100;700;0x00000002;0;0;;
51;0;-3500;500;1000;700;0x00000001;0;118;;
51;1;-3403;502;1000;700;0x00000000;0;206;;
51;2;-3305;507;1000;700;0x00000000;0;411;;
51;3;-3208;516;1000;700;0x00000000;0;650;;
51;4;-3112;529;1000;700;0x00000000;0;917;;
51;5;-3016;547;1000;700;0x00000000;0;1218;;
51;6;-2922;570;1000;700;0x00000000;0;1546;;
51;7;-2828;599;1000;700;0x00000000;0;1908;;
51;8;-2737;634;1000;700;0x00000000;0;2301;;
51;9;-2649;675;1000;700;0x00000000;0;2722;;
51;10;-2564;723;1000;700;0x00000000;0;3182;;
51;11;-2483;778;1000;700;0x00000000;0;3663;;
51;12;-2408;839;1000;700;0x00000000;0;4208;;
51;13;-2339;908;1000;700;0x00000000;0;4708;;
51;14;-2275;982;1000;700;0x00000000;0;5207;;
51;15;-2219;1062;1000;700;0x00000000;0;5753;;
51;16;-2170;1147;1000;700;0x00000000;0;6226;;
51;17;-2128;1235;900;700;0x00000000;0;6645;;
51;18;-2092;1326;800;700;0x00000000;0;7054;;
51;19;-2063;1419;700;700;0x00000000;0;7482;;
51;20;-2041;1514;600;700;0x00000000;0;7817;;
51;21;-2023;1610;500;700;0x00000000;0;8112;;
51;22;-2011;1706;400;700;0x00000000;0;8411;;
51;23;-2003;1804;300;700;0x00000000;0;8677;;
51;24;-2000;1901;200;700;0x00000000;0;8912;;
51;25;-2000;2000;100;700;0x00000002;0;9000;;
52;0;-2000;2000;1000;700;0x00000001;0;9000;;
52;1;-2000;2098;1000;700;0x00000000;0;9088;;
52;2;-2003;2196;1000;700;0x00000000;0;9323;;
52;3;-2011;2293;1000;700;0x00000000;0;9589;;
52;4;-2023;2390;1000;700;0x00000000;0;9884;;
52;5;-2041;2486;1000;700;0x00000000;0;10183;;
52;6;-2063;2581;1000;700;0x00000000;0;10518;;
